REF_DATE,GEO,DGUID,Age group,Sex,Income source,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2023,Alberta,2021A000248,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107680656,12.1.1.1.3,236863,A,,,0
2000,Alberta,2021A000248,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107680657,12.1.1.1.4,50800,A,,,0
2001,Alberta,2021A000248,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107680657,12.1.1.1.4,53100,A,,,0
2002,Alberta,2021A000248,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107680657,12.1.1.1.4,52000,A,,,0
2003,Alberta,2021A000248,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107680657,12.1.1.1.4,53000,A,,,0
2004,Alberta,2021A000248,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107680657,12.1.1.1.4,55000,A,,,0
2005,Alberta,2021A000248,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107680657,12.1.1.1.4,57000,A,,,0
2006,Alberta,2021A000248,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107680657,12.1.1.1.4,59600,A,,,0
2007,Alberta,2021A000248,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107680657,12.1.1.1.4,63100,A,,,0
2008,Alberta,2021A000248,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107680657,12.1.1.1.4,63600,A,,,0
2009,Alberta,2021A000248,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107680657,12.1.1.1.4,63600,A,,,0
2010,Alberta,2021A000248,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107680657,12.1.1.1.4,64100,A,,,0
2011,Alberta,2021A000248,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107680657,12.1.1.1.4,65700,A,,,0
2012,Alberta,2021A000248,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107680657,12.1.1.1.4,68800,A,,,0
2013,Alberta,2021A000248,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107680657,12.1.1.1.4,68700,A,,,0
2014,Alberta,2021A000248,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107680657,12.1.1.1.4,70000,A,,,0
2015,Alberta,2021A000248,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107680657,12.1.1.1.4,71000,A,,,0
2016,Alberta,2021A000248,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107680657,12.1.1.1.4,64100,A,,,0
2017,Alberta,2021A000248,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107680657,12.1.1.1.4,66500,A,,,0
2018,Alberta,2021A000248,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107680657,12.1.1.1.4,65900,A,,,0
2019,Alberta,2021A000248,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107680657,12.1.1.1.4,65100,A,,,0
2020,Alberta,2021A000248,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107680657,12.1.1.1.4,64300,A,,,0
2021,Alberta,2021A000248,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107680657,12.1.1.1.4,65500,A,,,0
2022,Alberta,2021A000248,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107680657,12.1.1.1.4,63900,A,,,0
2023,Alberta,2021A000248,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107680657,12.1.1.1.4,64100,A,,,0
2000,Alberta,2021A000248,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107680658,12.1.1.1.5,37700,A,,,0
2001,Alberta,2021A000248,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107680658,12.1.1.1.5,40200,A,,,0
2002,Alberta,2021A000248,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107680658,12.1.1.1.5,39000,A,,,0
2003,Alberta,2021A000248,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107680658,12.1.1.1.5,38600,A,,,0
2004,Alberta,2021A000248,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107680658,12.1.1.1.5,41400,A,,,0
2005,Alberta,2021A000248,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107680658,12.1.1.1.5,42500,A,,,0
2006,Alberta,2021A000248,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107680658,12.1.1.1.5,44300,A,,,0
2007,Alberta,2021A000248,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107680658,12.1.1.1.5,46200,A,,,0
2008,Alberta,2021A000248,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107680658,12.1.1.1.5,47800,A,,,0
2009,Alberta,2021A000248,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107680658,12.1.1.1.5,47400,A,,,0
